n_sku,ds,y
5,2016-04-04,3428.05
1,2016-04-05,9519.25
2,2016-04-05,70468.74
3,2016-04-05,48501.67
4,2016-04-05,10017.1
5,2016-04-05,2433.81
1,2016-04-06,10310.31
2,2016-04-06,69559.68
3,2016-04-06,52314.15
4,2016-04-06,9923.36
5,2016-04-06,2802.5
1,2016-04-07,9214.44
2,2016-04-07,72399.83
3,2016-04-07,46425.96
4,2016-04-07,9438.72
5,2016-04-07,3143.4
1,2016-04-08,10740.84
2,2016-04-08,83378.88
3,2016-04-08,33113.34
4,2016-04-08,9354.8
5,2016-04-08,3244.25
1,2016-04-09,8332.8
2,2016-04-09,89082.0
3,2016-04-09,25445.7
4,2016-04-09,4061.76
5,2016-04-09,3506.88
1,2016-04-10,6707.83
2,2016-04-10,63715.05
3,2016-04-10,45819.18
4,2016-04-10,3000.27
5,2016-04-10,3888.38
1,2016-04-11,9318.46
2,2016-04-11,43468.2
3,2016-04-11,51228.72
4,2016-04-11,9136.4
5,2016-04-11,2049.18
1,2016-04-12,9578.25
2,2016-04-12,77007.24
3,2016-04-12,47331.9
4,2016-04-12,8585.78
5,2016-04-12,2970.32
1,2016-04-13,9002.28
2,2016-04-13,74036.16
3,2016-04-13,48104.64
4,2016-04-13,5603.72
5,2016-04-13,3372.84
1,2016-04-14,8791.29
2,2016-04-14,67527.46
3,2016-04-14,49137.61
4,2016-04-14,10079.4
5,2016-04-14,2875.95
1,2016-04-15,9433.4
2,2016-04-15,69679.65
3,2016-04-15,29543.04
4,2016-04-15,9277.21
5,2016-04-15,3410.4
1,2016-04-16,7814.48
2,2016-04-16,72473.94
3,2016-04-16,22881.55
4,2016-04-16,4903.5
5,2016-04-16,3458.16
1,2016-04-17,6163.9
2,2016-04-17,63765.0
3,2016-04-17,42537.12
4,2016-04-17,3011.54
5,2016-04-17,3264.56
1,2016-04-18,9000.11
2,2016-04-18,47851.65
3,2016-04-18,48878.67
4,2016-04-18,8258.35
5,2016-04-18,1748.32
1,2016-04-19,8621.91
2,2016-04-19,66638.04
3,2016-04-19,52601.22
4,2016-04-19,9232.6
5,2016-04-19,2393.94
1,2016-04-20,9972.46
2,2016-04-20,65568.0
3,2016-04-20,53118.01
4,2016-04-20,8905.6
5,2016-04-20,3138.11
1,2016-04-21,9967.36
2,2016-04-21,76226.48
3,2016-04-21,51597.54
4,2016-04-21,9776.7
5,2016-04-21,3352.32
1,2016-04-22,10211.22
2,2016-04-22,74974.21
3,2016-04-22,32411.6
4,2016-04-22,9747.54
5,2016-04-22,3679.43
1,2016-04-23,8527.96
2,2016-04-23,85601.25
3,2016-04-23,24381.72
4,2016-04-23,3779.23
5,2016-04-23,3193.62
1,2016-04-24,6347.68
2,2016-04-24,58973.72
3,2016-04-24,49271.27
4,2016-04-24,3454.2
5,2016-04-24,3789.94
1,2016-04-25,7462.0
2,2016-04-25,48626.2
3,2016-04-25,46830.28
4,2016-04-25,7680.4
5,2016-04-25,1908.2
1,2016-04-26,8624.08
2,2016-04-26,72198.0
3,2016-04-26,47670.65
4,2016-04-26,8407.2
5,2016-04-26,2529.85
1,2016-04-27,9285.12
2,2016-04-27,69008.79
3,2016-04-27,51416.71
4,2016-04-27,8928.81
5,2016-04-27,3103.68
1,2016-04-28,9597.85
2,2016-04-28,83287.99
3,2016-04-28,36258.65
4,2016-04-28,8942.57
5,2016-04-28,3333.22
1,2016-04-29,10461.4
2,2016-04-29,79788.95
3,2016-04-29,33598.6
4,2016-04-29,7778.24
5,2016-04-29,3296.6
1,2016-04-30,8737.15
2,2016-04-30,70708.8
3,2016-04-30,23465.27
4,2016-04-30,4622.64
5,2016-04-30,3304.29
1,2016-05-01,5787.4
2,2016-05-01,67311.06
3,2016-05-01,45147.68
4,2016-05-01,3163.2
5,2016-05-01,4461.48
1,2016-05-02,8559.28
2,2016-05-02,49291.5
3,2016-05-02,48210.3
4,2016-05-02,9565.84
5,2016-05-02,2238.44
1,2016-05-03,8464.0
2,2016-05-03,79040.26
3,2016-05-03,44472.78
4,2016-05-03,8505.78
5,2016-05-03,2436.07
1,2016-05-04,9533.94
2,2016-05-04,71691.73
3,2016-05-04,47626.56
4,2016-05-04,9544.08
5,2016-05-04,3223.8
1,2016-05-05,9131.64
2,2016-05-05,76034.97
3,2016-05-05,45782.7
4,2016-05-05,8553.06
5,2016-05-05,3373.14
1,2016-05-06,9698.55
2,2016-05-06,70130.06
3,2016-05-06,31795.55
4,2016-05-06,9673.68
5,2016-05-06,3285.45
1,2016-05-07,9607.38
2,2016-05-07,76866.36
3,2016-05-07,26368.86
4,2016-05-07,4044.48
5,2016-05-07,3464.84
1,2016-05-08,6598.7
2,2016-05-08,61836.45
3,2016-05-08,49153.52
4,2016-05-08,3872.77
5,2016-05-08,4011.92
1,2016-05-09,9665.31
2,2016-05-09,49585.25
3,2016-05-09,52400.66
4,2016-05-09,8613.99
5,2016-05-09,3134.42
1,2016-05-10,10292.4
2,2016-05-10,75908.7
3,2016-05-10,43192.92
4,2016-05-10,8366.94
5,2016-05-10,2895.9
1,2016-05-11,10297.23
2,2016-05-11,76237.2
3,2016-05-11,48514.55
4,2016-05-11,8729.28
5,2016-05-11,3031.6
1,2016-05-12,10225.5
2,2016-05-12,80854.68
3,2016-05-12,47555.54
4,2016-05-12,10005.45
5,2016-05-12,3064.46
1,2016-05-13,9449.65
2,2016-05-13,75251.63
3,2016-05-13,30535.9
4,2016-05-13,8699.93
5,2016-05-13,3226.99
1,2016-05-14,8148.44
2,2016-05-14,87864.48
3,2016-05-14,21067.41
4,2016-05-14,3979.02
5,2016-05-14,3547.95
1,2016-05-15,6255.22
2,2016-05-15,57451.24
3,2016-05-15,47073.07
4,2016-05-15,2930.37
5,2016-05-15,3818.21
1,2016-05-16,8961.0
2,2016-05-16,40780.74
3,2016-05-16,47084.1
4,2016-05-16,8985.6
5,2016-05-16,1878.15
1,2016-05-17,8447.53
2,2016-05-17,68327.04
3,2016-05-17,52003.35
4,2016-05-17,8650.56
5,2016-05-17,2844.06
1,2016-05-18,10444.2
2,2016-05-18,76348.65
3,2016-05-18,50408.09
4,2016-05-18,9390.16
5,2016-05-18,2732.16
1,2016-05-19,9963.19
2,2016-05-19,77716.98
3,2016-05-19,50493.35
4,2016-05-19,9205.52
5,2016-05-19,3118.5
1,2016-05-20,9830.52
2,2016-05-20,86938.4
3,2016-05-20,31418.0
4,2016-05-20,8950.76
5,2016-05-20,3047.1
1,2016-05-21,8564.49
2,2016-05-21,74823.15
3,2016-05-21,27483.9
4,2016-05-21,4563.9
5,2016-05-21,3682.35
1,2016-05-22,6720.4
2,2016-05-22,57692.28
3,2016-05-22,46566.05
4,2016-05-22,3699.3
5,2016-05-22,3484.24
1,2016-05-23,9738.36
2,2016-05-23,48466.4
3,2016-05-23,45848.64
4,2016-05-23,7703.15
5,2016-05-23,2265.76
1,2016-05-24,9649.56
2,2016-05-24,68272.7
3,2016-05-24,25858.35
4,2016-05-24,8578.08
5,2016-05-24,2444.26
1,2016-05-25,6219.54
2,2016-05-25,82420.0
3,2016-05-25,44108.04
4,2016-05-25,3991.68
5,2016-05-25,3116.61
1,2016-05-26,8299.2
2,2016-05-26,41111.07
3,2016-05-26,46870.08
4,2016-05-26,9497.63
5,2016-05-26,2839.12
1,2016-05-27,9797.0
2,2016-05-27,68622.19
3,2016-05-27,28377.86
4,2016-05-27,8675.97
5,2016-05-27,2988.02
1,2016-05-28,7647.92
2,2016-05-28,72389.28
3,2016-05-28,22366.8
4,2016-05-28,4506.06
5,2016-05-28,3715.04
1,2016-05-29,5509.92
2,2016-05-29,56381.52
3,2016-05-29,43647.36
4,2016-05-29,2753.73
5,2016-05-29,2278.56
1,2016-05-30,8949.61
2,2016-05-30,37693.06
3,2016-05-30,49691.87
4,2016-05-30,9793.44
5,2016-05-30,2040.9620000000002
1,2016-05-31,8748.46
2,2016-05-31,69493.05
3,2016-05-31,48214.98
4,2016-05-31,8081.28
5,2016-05-31,2507.05
1,2016-06-01,10418.22
2,2016-06-01,68480.64
3,2016-06-01,50588.28
4,2016-06-01,9770.76
5,2016-06-01,2829.49
1,2016-06-02,9566.58
2,2016-06-02,76211.57
3,2016-06-02,46318.65
4,2016-06-02,10220.93
5,2016-06-02,2950.66
1,2016-06-03,11962.75
2,2016-06-03,72317.38
3,2016-06-03,26590.56
4,2016-06-03,9788.24
5,2016-06-03,3255.83
1,2016-06-04,8624.19
2,2016-06-04,80890.9
3,2016-06-04,23267.72
4,2016-06-04,3857.19
5,2016-06-04,3948.0
1,2016-06-05,6343.92
2,2016-06-05,51119.08
3,2016-06-05,51171.14
4,2016-06-05,3048.55
5,2016-06-05,3045.12
1,2016-06-06,9061.47
2,2016-06-06,45295.6
3,2016-06-06,44155.02
4,2016-06-06,9027.0
5,2016-06-06,2825.4
1,2016-06-07,9496.2
2,2016-06-07,74293.74
3,2016-06-07,47725.02
4,2016-06-07,8035.3
5,2016-06-07,2594.41
1,2016-06-08,10627.2
2,2016-06-08,67944.76
3,2016-06-08,43909.28
