n_sku,ds,y
4,2016-03-29,9311.0
5,2016-03-29,2835.0
1,2016-03-30,9733.0
2,2016-03-30,74369.0
3,2016-03-30,47096.0
4,2016-03-30,9315.0
5,2016-03-30,3131.0
1,2016-03-31,9874.0
2,2016-03-31,76237.0
3,2016-03-31,49342.0
4,2016-03-31,9540.0
5,2016-03-31,3282.0
1,2016-04-01,10039.0
2,2016-04-01,78649.0
3,2016-04-01,48204.0
4,2016-04-01,9373.0
5,2016-04-01,2630.0
1,2016-04-02,7632.0
2,2016-04-02,54406.0
3,2016-04-02,29409.0
4,2016-04-02,3816.0
5,2016-04-02,2849.0
1,2016-04-03,6329.0
2,2016-04-03,48269.0
3,2016-04-03,25874.0
4,2016-04-03,3316.0
5,2016-04-03,3145.0
1,2016-04-04,8811.0
2,2016-04-04,69087.0
3,2016-04-04,44831.0
4,2016-04-04,8733.0
5,2016-04-04,2617.0
1,2016-04-05,9425.0
2,2016-04-05,72458.0
3,2016-04-05,45990.0
4,2016-04-05,9190.0
5,2016-04-05,2950.0
1,2016-04-06,9459.0
2,2016-04-06,74639.0
3,2016-04-06,47089.0
4,2016-04-06,9104.0
5,2016-04-06,3380.0
1,2016-04-07,9908.0
2,2016-04-07,81744.0
3,2016-04-07,49823.0
4,2016-04-07,9832.0
5,2016-04-07,3415.0
1,2016-04-08,10428.0
2,2016-04-08,84840.0
3,2016-04-08,50463.0
4,2016-04-08,8995.0
5,2016-04-08,3653.0
1,2016-04-09,8680.0
2,2016-04-09,60681.0
3,2016-04-09,31239.0
4,2016-04-09,4231.0
5,2016-04-09,3634.0
1,2016-04-10,6269.0
2,2016-04-10,46740.0
3,2016-04-10,24234.0
4,2016-04-10,3297.0
5,2016-04-10,2091.0
1,2016-04-11,8791.0
2,2016-04-11,71303.0
3,2016-04-11,46282.0
4,2016-04-11,8785.0
5,2016-04-11,2776.0
1,2016-04-12,9675.0
2,2016-04-12,74784.0
3,2016-04-12,47434.0
4,2016-04-12,8761.0
5,2016-04-12,3123.0
1,2016-04-13,9186.0
2,2016-04-13,74206.0
3,2016-04-13,45078.0
4,2016-04-13,6091.0
5,2016-04-13,2905.0
1,2016-04-14,9453.0
2,2016-04-14,73347.0
3,2016-04-14,50109.0
4,2016-04-14,9420.0
5,2016-04-14,3248.0
1,2016-04-15,9340.0
2,2016-04-15,73953.0
3,2016-04-15,45923.0
4,2016-04-15,9007.0
5,2016-04-15,3202.0
1,2016-04-16,8494.0
2,2016-04-16,58500.0
3,2016-04-16,30774.0
4,2016-04-16,4670.0
5,2016-04-16,3139.0
1,2016-04-17,5815.0
2,2016-04-17,45573.0
3,2016-04-17,22655.0
4,2016-04-17,3073.0
5,2016-04-17,1784.0
1,2016-04-18,8911.0
2,2016-04-18,67998.0
3,2016-04-18,46236.0
4,2016-04-18,8693.0
5,2016-04-18,2347.0
1,2016-04-19,8709.0
2,2016-04-19,68300.0
3,2016-04-19,45681.0
4,2016-04-19,8710.0
5,2016-04-19,2879.0
1,2016-04-20,9682.0
2,2016-04-20,78584.0
3,2016-04-20,48258.0
4,2016-04-20,9680.0
5,2016-04-20,3104.0
1,2016-04-21,9584.0
2,2016-04-21,77293.0
3,2016-04-21,49643.0
4,2016-04-21,9585.0
5,2016-04-21,3643.0
1,2016-04-22,10011.0
2,2016-04-22,81525.0
3,2016-04-22,48222.0
4,2016-04-22,9846.0
5,2016-04-22,3434.0
1,2016-04-23,8702.0
2,2016-04-23,62738.0
3,2016-04-23,31165.0
4,2016-04-23,4153.0
5,2016-04-23,3542.0
1,2016-04-24,6544.0
2,2016-04-24,51730.0
3,2016-04-24,24628.0
4,2016-04-24,3420.0
5,2016-04-24,2030.0
1,2016-04-25,8200.0
2,2016-04-25,68760.0
3,2016-04-25,45203.0
4,2016-04-25,8440.0
5,2016-04-25,2663.0
1,2016-04-26,9374.0
2,2016-04-26,74203.0
3,2016-04-26,47786.0
4,2016-04-26,9040.0
5,2016-04-26,2928.0
1,2016-04-27,9672.0
2,2016-04-27,76411.0
3,2016-04-27,49145.0
4,2016-04-27,9019.0
5,2016-04-27,3058.0
1,2016-04-28,10103.0
2,2016-04-28,77465.0
3,2016-04-28,48053.0
4,2016-04-28,9827.0
5,2016-04-28,3110.0
1,2016-04-29,11012.0
2,2016-04-29,73655.0
3,2016-04-29,38167.0
4,2016-04-29,7136.0
5,2016-04-29,3553.0
1,2016-04-30,9197.0
2,2016-04-30,63501.0
3,2016-04-30,32620.0
4,2016-04-30,4488.0
5,2016-04-30,4131.0
1,2016-05-01,6092.0
2,2016-05-01,48325.0
3,2016-05-01,24191.0
4,2016-05-01,3295.0
5,2016-05-01,2092.0
1,2016-05-02,8824.0
2,2016-05-02,72514.0
3,2016-05-02,46544.0
4,2016-05-02,8776.0
5,2016-05-02,2677.0
1,2016-05-03,9200.0
2,2016-05-03,73909.0
3,2016-05-03,47265.0
4,2016-05-03,9146.0
5,2016-05-03,2985.0
1,2016-05-04,9347.0
2,2016-05-04,76803.0
3,2016-05-04,44922.0
4,2016-05-04,9177.0
5,2016-05-04,3307.0
1,2016-05-05,9318.0
2,2016-05-05,77066.0
3,2016-05-05,49611.0
4,2016-05-05,9099.0
5,2016-05-05,3129.0
1,2016-05-06,10209.0
2,2016-05-06,82652.0
3,2016-05-06,48705.0
4,2016-05-06,9484.0
5,2016-05-06,3572.0
1,2016-05-07,9419.0
2,2016-05-07,65091.0
3,2016-05-07,33469.0
4,2016-05-07,4213.0
5,2016-05-07,4136.0
1,2016-05-08,6946.0
2,2016-05-08,52195.0
3,2016-05-08,26907.0
4,2016-05-08,3553.0
5,2016-05-08,2957.0
1,2016-05-09,9033.0
2,2016-05-09,72294.0
3,2016-05-09,47263.0
4,2016-05-09,8701.0
5,2016-05-09,2758.0
1,2016-05-10,9530.0
2,2016-05-10,73305.0
3,2016-05-10,48074.0
4,2016-05-10,8901.0
5,2016-05-10,2860.0
1,2016-05-11,9447.0
2,2016-05-11,76278.0
3,2016-05-11,46444.0
4,2016-05-11,9093.0
5,2016-05-11,2891.0
1,2016-05-12,10025.0
2,2016-05-12,77579.0
3,2016-05-12,50015.0
4,2016-05-12,9529.0
5,2016-05-12,3133.0
1,2016-05-13,9947.0
2,2016-05-13,81356.0
3,2016-05-13,50591.0
4,2016-05-13,8969.0
5,2016-05-13,3379.0
1,2016-05-14,8857.0
2,2016-05-14,62447.0
3,2016-05-14,32485.0
4,2016-05-14,4233.0
5,2016-05-14,3707.0
1,2016-05-15,5846.0
2,2016-05-15,44814.0
