date,n_sku,demand
2016-03-10,3,48258.0
2016-03-10,4,9198.0
2016-03-10,5,3272.0
2016-03-11,1,10074.0
2016-03-11,2,81730.0
2016-03-11,3,50278.0
2016-03-11,4,9364.0
2016-03-11,5,3445.0
2016-03-12,1,8613.0
2016-03-12,2,63882.0
2016-03-12,3,32212.0
2016-03-12,4,4525.0
2016-03-12,5,3821.0
2016-03-13,1,6673.0
2016-03-13,2,52103.0
2016-03-13,3,27175.0
2016-03-13,4,3710.0
2016-03-13,5,2728.0
2016-03-14,1,8968.0
2016-03-14,2,73976.0
2016-03-14,3,46789.0
2016-03-14,4,8733.0
2016-03-14,5,2592.0
2016-03-15,1,9645.0
2016-03-15,2,76445.0
2016-03-15,3,48303.0
2016-03-15,4,9170.0
2016-03-15,5,2765.0
2016-03-16,1,9618.0
2016-03-16,2,76491.0
2016-03-16,3,46861.0
2016-03-16,4,9429.0
2016-03-16,5,3019.0
2016-03-17,1,9398.0
2016-03-17,2,76232.0
2016-03-17,3,50528.0
2016-03-17,4,9681.0
2016-03-17,5,3104.0
2016-03-18,1,9688.0
2016-03-18,2,79264.0
2016-03-18,3,50267.0
2016-03-18,4,9673.0
2016-03-18,5,3292.0
2016-03-19,1,8759.0
2016-03-19,2,64112.0
2016-03-19,3,35327.0
2016-03-19,4,4866.0
2016-03-19,5,3719.0
2016-03-20,1,6517.0
2016-03-20,2,49262.0
2016-03-20,3,25802.0
2016-03-20,4,3547.0
2016-03-20,5,2492.0
2016-03-21,1,9150.0
2016-03-21,2,71755.0
2016-03-21,3,45538.0
2016-03-21,4,8995.0
2016-03-21,5,1630.0
2016-03-22,1,9725.0
2016-03-22,2,76817.0
2016-03-22,3,48750.0
2016-03-22,4,9396.0
2016-03-22,5,2711.0
2016-03-23,1,10776.0
2016-03-23,2,82902.0
2016-03-23,3,45443.0
2016-03-23,4,10225.0
2016-03-23,5,3042.0
2016-03-24,1,6480.0
2016-03-24,2,53127.0
2016-03-24,3,20204.0
2016-03-24,4,4485.0
2016-03-24,5,2061.0
2016-03-25,1,4811.0
2016-03-25,2,38130.0
2016-03-25,3,20256.0
2016-03-25,4,2699.0
2016-03-25,5,1511.0
2016-03-26,1,7267.0
2016-03-26,2,49890.0
2016-03-26,3,23729.0
2016-03-26,4,3538.0
2016-03-26,5,1616.0
2016-03-27,1,7235.0
2016-03-27,2,52503.0
2016-03-27,3,25652.0
2016-03-27,4,3859.0
2016-03-27,5,1714.0
2016-03-28,1,10132.0
2016-03-28,2,76296.0
2016-03-28,3,47830.0
2016-03-28,4,9532.0
2016-03-28,5,2509.0
2016-03-29,1,9537.0
2016-03-29,2,73214.0
2016-03-29,3,48033.0
2016-03-29,4,9311.0
2016-03-29,5,2835.0
2016-03-30,1,9733.0
2016-03-30,2,74369.0
2016-03-30,3,47096.0
2016-03-30,4,9315.0
2016-03-30,5,3131.0
2016-03-31,1,9874.0
2016-03-31,2,76237.0
2016-03-31,3,49342.0
2016-03-31,4,9540.0
2016-03-31,5,3282.0
2016-04-01,1,10039.0
2016-04-01,2,78649.0
2016-04-01,3,48204.0
2016-04-01,4,9373.0
2016-04-01,5,2630.0
2016-04-02,1,7632.0
2016-04-02,2,54406.0
2016-04-02,3,29409.0
2016-04-02,4,3816.0
2016-04-02,5,2849.0
2016-04-03,1,6329.0
2016-04-03,2,48269.0
2016-04-03,3,25874.0
2016-04-03,4,3316.0
2016-04-03,5,3145.0
2016-04-04,1,8811.0
2016-04-04,2,69087.0
2016-04-04,3,44831.0
2016-04-04,4,8733.0
2016-04-04,5,2617.0
2016-04-05,1,9425.0
2016-04-05,2,72458.0
2016-04-05,3,45990.0
2016-04-05,4,9190.0
2016-04-05,5,2950.0
2016-04-06,1,9459.0
2016-04-06,2,74639.0
2016-04-06,3,47089.0
2016-04-06,4,9104.0
2016-04-06,5,3380.0
2016-04-07,1,9908.0
2016-04-07,2,81744.0
2016-04-07,3,49823.0
2016-04-07,4,9832.0
2016-04-07,5,3415.0
2016-04-08,1,10428.0
2016-04-08,2,84840.0
2016-04-08,3,50463.0
2016-04-08,4,8995.0
2016-04-08,5,3653.0
2016-04-09,1,8680.0
2016-04-09,2,60681.0
2016-04-09,3,31239.0
2016-04-09,4,4231.0
2016-04-09,5,3634.0
2016-04-10,1,6269.0
2016-04-10,2,46740.0
2016-04-10,3,24234.0
2016-04-10,4,3297.0
2016-04-10,5,2091.0
2016-04-11,1,8791.0
2016-04-11,2,71303.0
2016-04-11,3,46282.0
2016-04-11,4,8785.0
2016-04-11,5,2776.0
2016-04-12,1,9675.0
2016-04-12,2,74784.0
2016-04-12,3,47434.0
2016-04-12,4,8761.0
2016-04-12,5,3123.0
2016-04-13,1,9186.0
2016-04-13,2,74206.0
2016-04-13,3,45078.0
2016-04-13,4,6091.0
2016-04-13,5,2905.0
2016-04-14,1,9453.0
2016-04-14,2,73347.0
2016-04-14,3,50109.0
2016-04-14,4,9420.0
2016-04-14,5,3248.0
2016-04-15,1,9340.0
2016-04-15,2,73953.0
2016-04-15,3,45923.0
2016-04-15,4,9007.0
2016-04-15,5,3202.0
2016-04-16,1,8494.0
2016-04-16,2,58500.0
2016-04-16,3,30774.0
2016-04-16,4,4670.0
2016-04-16,5,3139.0
2016-04-17,1,5815.0
2016-04-17,2,45573.0
2016-04-17,3,22655.0
2016-04-17,4,3073.0
2016-04-17,5,1784.0
2016-04-18,1,8911.0
2016-04-18,2,67998.0
2016-04-18,3,46236.0
2016-04-18,4,8693.0
2016-04-18,5,2347.0
2016-04-19,1,8709.0
2016-04-19,2,68300.0
2016-04-19,3,45681.0
2016-04-19,4,8710.0
2016-04-19,5,2879.0
2016-04-20,1,9682.0
2016-04-20,2,78584.0
2016-04-20,3,48258.0
2016-04-20,4,9680.0
2016-04-20,5,3104.0
2016-04-21,1,9584.0
2016-04-21,2,77293.0
2016-04-21,3,49643.0
2016-04-21,4,9585.0
2016-04-21,5,3643.0
2016-04-22,1,10011.0
2016-04-22,2,81525.0
2016-04-22,3,48222.0
2016-04-22,4,9846.0
2016-04-22,5,3434.0
2016-04-23,1,8702.0
2016-04-23,2,62738.0
2016-04-23,3,31165.0
2016-04-23,4,4153.0
2016-04-23,5,3542.0
2016-04-24,1,6544.0
2016-04-24,2,51730.0
2016-04-24,3,24628.0
2016-04-24,4,3420.0
2016-04-24,5,2030.0
2016-04-25,1,8200.0
2016-04-25,2,68760.0
2016-04-25,3,45203.0
2016-04-25,4,8440.0
2016-04-25,5,2663.0
2016-04-26,1,9374.0
2016-04-26,2,74203.0
2016-04-26,3,47786.0
2016-04-26,4,9040.0
2016-04-26,5,2928.0
2016-04-27,1,9672.0
2016-04-27,2,76411.0
2016-04-27,3,49145.0
